Player,eLToNy-
Wins,31
Losses,17
OTL,2
W_DNF,5
Goals,49
Assists,70
Points,119
Pts/G,2.4
GWG,4
+/-,34
TOI,3012
PIM,30
PPG,6
SHG,3
Penalties,0
Attempts,0
P_%,0.0
Offsides,27
Offsides/G,0.5
Fights,0
Fights_Won,0
Faceoffs,54
F_Won,25
F_Lost,29
F_Attempts,46.3
Hits,179
Hits/G,3.6
Blocks,27
Shots,296
Shots_%,16.6
Shots/G,5.9
S_Attempts,410
S_On_Net_%,72.2
Passes,956
P_Attempts,1325
Pass_%,72.2
Saucers,9
Dekes,13
Dekes_Made,3
Giveaways,412
Takeaways,256
Scrn_Chance,369
Scrn_Goals,0
Brk_Goals,3
Breakaways,7
Brk_%,42.9
Sk_Gc?,49
Hat_Tricks,6
Prev_Goals,0
PrevAssist,1
Possession,12946
Deflections,6
Pk_Clear,31
Pen_Drawn,40
Games_LW,0
Games_RW,50
Games_C,0
Games_D,0
Played,50
DNF,2
Win_%,62
clientPlatform,ps5
